id,observed_on,time_observed_at,user_id,updated_at,quality_grade,description,place_guess,latitude,longitude,species_guess,scientific_name
150439,11/15/12,,4310,2016-11-28 06:06:56 UTC,needs_id,These sequestrate fungi were found in the duff beneath Arctostaphylos sp. in an area with Pinus jeffreyi. ,"Sherier Rd., Cave Junction, OR",42.10372776,-123.6304424,Rhizopogon rubescens,Rhizopogon ochraceorubens
286391,6/1/13,2013-06-01 22:40:06 UTC,14961,2017-04-10 02:56:35 UTC,research,,"Trinity County, US-CA, US",40.573468,-123.531241,Rhizopogon truncatus,Rhizopogon truncatus
415810,8/17/13,2013-08-17 17:45:25 UTC,8641,2015-04-03 23:22:19 UTC,research,"<i>Pterospora andromedea</i>

They live in a parasitic relationship with mycorrhizal fungi, in which plants derive all their carbon from their associated fungus, but the relationship is not yet well understood. The term for this kind of symbiosis is mycoheterotrophy. In Pteropspora the association is with a very limited number of fungi in the genus Rhizopogon  

Pterospora has consistently been shown to be more closely related to Sarcodes than any other member of the Monotropoidiae
Source http://en.wikipedia.org/wiki/Pterospora accessed 2 October 2013

Forest, Trail to Spray Park
Mount Rainier National Park

Northwestern Chapter of North American Rock Garden Society (NARGS) field trip 

s20130909 237","Mount Rainier, Washington, United States",46.929062,-121.861853,Pterospora andromedea,Pterospora andromedea
567433,3/9/14,2014-03-09 18:55:34 UTC,3494,2016-11-15 18:20:15 UTC,needs_id,,"Lake Oroville State Recreation Area, Forbestown, CA, US",39.62494667,-121.2679283,Rhizopogon,Rhizopogon
1291507,12/24/14,,79697,2020-06-02 04:30:24 UTC,needs_id,"I have no idea, look like a false truffle ",laney college,37.795725,-122.261288,Rhizopogon,Rhizopogon rubescens
1293508,12/13/14,2014-12-13 17:52:27 UTC,79697,2017-06-13 02:01:34 UTC,needs_id,Some kind of false struffle  ,"Merritt College, Oakland, CA, US",37.79003833,-122.16748,Rhizopogon,Rhizopogon
2226308,10/17/15,2015-10-17 18:17:05 UTC,3494,2020-06-15 03:38:43 UTC,research,,"Salt Point State Park, Sonoma County, US-CA, US",38.56624167,-123.3166717,Rhizopogon occidentalis,Rhizopogon occidentalis
2397839,11/18/15,2015-11-19 00:18:07 UTC,77622,2020-06-02 04:41:45 UTC,needs_id,"Spore mass not minutely chambered, so not Rhizopogon. Under doug fir. Spores elliptical, minutely warted, cinnamon-brown in visikol solution. spore mass buff white when young, dingy buff when older. spore mass composed of .5-3+mm chambers. columnella not present. smelly!","39976–40298 NE Meyers Rd, La Center, WA, US",45.91007,-122.590428,Fungi Including Lichens,Gautieria
2456441,12/5/15,2015-12-05 20:22:32 UTC,604,2015-12-06 23:36:56 UTC,needs_id,,,34.85296016,-92.84444193,Rhizopogon species,Rhizopogon
2621147,1/26/16,2016-01-27 01:11:36 UTC,19715,2016-02-02 00:24:50 UTC,needs_id,,"Manzanita Regional Park, Prunedale, CA, US",36.801521,-121.68157,Rhizopogon,Rhizopogon
2634196,1/26/16,,108450,2016-01-31 21:40:51 UTC,needs_id,"According to ""Field Guide to the Mushrooms of Western North America"", the yellow outer skin and red-stained rhizomorphs are distinctive to R. ochraceorubens, but according to ""Mushrooms Demystified"" there are several similar species that can only be differentiated microscopically. ","Manzanita Park, Prunedale",36.801225,-121.681657,Rhizopogon,Rhizopogon
2652946,2/6/16,2016-02-06 19:34:06 UTC,3494,2016-11-15 17:49:19 UTC,needs_id,,"Joaquin Miller Park, Oakland, CA, US",37.81015333,-122.1837783,Rhizopogon occidentalis,Rhizopogon occidentalis
3213476,9/21/11,,216684,2018-10-09 01:01:01 UTC,needs_id,,"Isla Guadalupe, B.C.",29.147101,-118.322089,Rhizopogon,Rhizopogon
3549490,2/20/14,,5179,2016-06-29 17:46:31 UTC,casual,,"Lanphere Dunes, Arcata, California, USA",40.88875,-124.1455,Rhizopogon,Rhizopogon
3552896,11/27/14,,5179,2016-07-27 17:29:04 UTC,casual,,"Quail Hollow Ranch County Park, Santa Cruz, California, USA",37.0841,-122.0615,Rhizopogon,Rhizopogon
3556384,12/20/15,,5179,2017-08-19 00:24:18 UTC,needs_id,<p>Black staining on white outer surface</p>,"Fall Creek Unit, Henry Cowell Redwoods State Park, Santa Cruz Co., California, USA",37.07465,-122.1095,Rhizopogon,Rhizopogon
3570826,12/5/15,,5179,2016-07-27 17:34:09 UTC,needs_id,<p>Found by Randy Garrett</p>,"Gateway School, Santa Cruz, Santa Cruz Co., California, USA",36.9563,-122.0265,Rhizopogon,Rhizopogon
3592107,11/30/13,,258652,2016-07-02 15:58:22 UTC,casual,,"Samoa, California, USA",40.80105,-124.1965,Rhizopogon occidentalis,Rhizopogon occidentalis
3592477,11/24/13,,258652,2016-07-02 16:00:08 UTC,casual,,"Humboldt Co., California, USA",40.73575,-123.897,Rhizopogon ochraceorubens,Rhizopogon ochraceorubens
3592478,11/24/13,,258652,2016-07-02 16:00:09 UTC,casual,,"Humboldt Co., California, USA",40.73575,-123.897,Rhizopogon parksii,Rhizopogon parksii
3592479,11/24/13,,258652,2016-07-02 16:00:09 UTC,casual,,"Humboldt Co., California, USA",40.73575,-123.897,Rhizopogon,Rhizopogon
3592622,12/18/13,,258652,2016-07-02 16:00:48 UTC,casual,,"Samoa, California, USA",40.80105,-124.1965,Rhizopogon occidentalis,Rhizopogon occidentalis
3592624,12/18/13,,258652,2016-07-02 16:00:48 UTC,casual,,"Samoa, California, USA",40.80105,-124.1965,Rhizopogon,Rhizopogon
3594362,11/1/14,,258652,2016-07-02 16:50:23 UTC,casual,,"Jessie Honeyman State Park, Lane Co., Oregon, USA",43.9279,-124.105,Rhizopogon,Rhizopogon
3594875,11/23/14,,258652,2016-07-02 17:27:20 UTC,casual,,"Humboldt Co., California, USA",40.73575,-123.897,Rhizopogon ochraceorubens,Rhizopogon ochraceorubens
3594876,11/23/14,,258652,2016-07-02 17:27:21 UTC,casual,,"Humboldt Co., California, USA",40.73575,-123.897,Rhizopogon parksii,Rhizopogon parksii
3594877,11/23/14,,258652,2016-07-02 17:27:21 UTC,casual,,"Humboldt Co., California, USA",40.73575,-123.897,Rhizopogon,Rhizopogon
3595728,1/24/15,,258652,2016-07-02 17:31:21 UTC,casual,,"Jackson Demonstration State Forest, Mendocino Co., California, USA",39.36455,-123.627,Rhizopogon ochraceorubens,Rhizopogon ochraceorubens
3634694,7/6/16,2016-07-06 23:32:06 UTC,170354,2017-05-28 14:34:34 UTC,needs_id,,"Stanislaus National Forest, Arnold, CA, US",38.30223714,-120.263084,Rhizopogon,Rhizopogon
4141676,9/18/16,2016-09-18 20:57:12 UTC,170354,2016-10-11 21:31:20 UTC,needs_id,,"Manzanita Park, Salinas, CA, US",36.80173096,-121.6790854,Rhizopogon,Rhizopogon
4142186,9/18/16,2016-09-18 21:32:46 UTC,170354,2017-05-30 03:44:09 UTC,needs_id,,"Manzanita Park, Salinas, CA, US",36.80171495,-121.6791513,Rhizopogon,Rhizopogon
4495786,11/3/16,2016-11-03 18:57:39 UTC,5179,2016-11-05 03:43:31 UTC,needs_id,With exotic stone pine ,"University of California, Santa Cruz, Santa Cruz, CA, US",36.99499167,-122.0668555,Rhizopogon,Rhizopogon
4548660,11/12/16,2016-11-12 23:44:41 UTC,170354,2017-08-17 01:18:12 UTC,needs_id,,"Stanislaus National Forest, Arnold, CA, US",38.30259349,-120.2632678,Rhizopogon,Rhizopogon
4579298,11/15/16,2016-11-15 17:39:07 UTC,5179,2017-08-17 00:59:48 UTC,needs_id,,"Quail Hollow Ranch County Park, Felton, CA, US",37.08059717,-122.06125,Rhizopogon,Rhizopogon
4653481,11/27/16,2016-11-27 18:23:22 UTC,3494,2018-11-14 17:43:10 UTC,needs_id,,"Merritt College, Oakland, CA, US",37.78912083,-122.1663408,Fungi Including Lichens,Rhizopogon ochraceorubens
4661443,11/27/16,2016-11-27 22:11:00 UTC,359639,2018-11-16 00:05:36 UTC,needs_id,,"Santa Cruz, CA, USA",36.99290862,-121.9891512,Rhizopogon,Rhizopogon
4674905,12/1/16,2016-12-01 23:21:25 UTC,19715,2016-12-02 03:18:27 UTC,needs_id,,"Manzanita Park, Salinas, CA, US",36.80103333,-121.6823417,Rhizopogon,Rhizopogon
4676169,11/9/08,,25945,2020-06-11 05:25:22 UTC,research,<p>Half buried</p>,"Salt Point State Park, Sonoma Co., California, USA",38.57535,-123.313,Rhizopogon occidentalis,Rhizopogon occidentalis
4677410,1/7/10,,25945,2020-06-15 05:06:49 UTC,casual,"<p>[admin &#8211; Sat Aug 14 01:56:54 +0000 2010]: Changed location name from &#8216;Santa Cruz Fungus Fair, Santa Cruz, Santa Cruz Co., California, <span class=""caps"">USA</span>&#8217; to &#8216;Santa Cruz, California, <span class=""caps"">USA</span>&#8217;</p>","Santa Cruz, California, USA",36.98545,-122.0375,Rhizopogon ellenae,Rhizopogon ellenae
4677641,2/21/10,,25945,2020-06-15 05:00:26 UTC,research,"<p>On display at the <span class=""caps"">SDMS</span> fungus fair.</p>","San Diego, California, USA",32.7254,-117.1145,Rhizopogon ochraceorubens,Rhizopogon ochraceorubens
4678527,11/3/10,,25945,2020-06-15 05:00:22 UTC,research,"<p>Peridium redenning in <span class=""caps"">KOH</span>, 400 microns thick.  Spores 6 &#8211; 7 &#215; 2.5 &#8211; 3, smooth, elliptical.</p>
<p>Under pine near Suillus.</p>","Kearny Mesa, San Diego Co., California, USA",32.8244,-117.1305,Rhizopogon ochraceorubens,Rhizopogon ochraceorubens
4678577,11/28/10,,25945,2017-04-21 13:06:50 UTC,needs_id,<p>Under bishop pine.</p>,"Salt Point State Park, Sonoma Co., California, USA",38.57535,-123.313,Rhizopogon,Rhizopogon
4732170,12/5/16,2016-12-05 16:25:52 UTC,3494,2016-12-07 21:16:37 UTC,needs_id,,"Redwood Regional Park, Orinda, CA, US",37.82941333,-122.1767117,,Rhizopogon occidentalis
4736493,1/6/11,,25945,2020-06-15 05:05:46 UTC,casual,,"Louden Nelson Community Center, Santa Cruz, California, USA",36.9694,-122.028,Rhizopogon occidentalis,Rhizopogon occidentalis
4752034,12/9/16,2016-12-09 22:01:40 UTC,380145,2020-06-02 05:29:54 UTC,needs_id,,"Quail Hollow Ecological Reserve, Santa Cruz County, US-CA, US",37.08262634,-122.0661697,Fungi Including Lichens,Rhizopogon occidentalis
4799723,12/18/16,2016-12-18 20:03:38 UTC,3494,2017-02-20 17:34:27 UTC,needs_id,,"Tahoe National Forest, Camptonville, CA, US",39.40572833,-121.1384805,,Rhizopogon truncatus
4995935,1/14/17,2017-01-14 18:07:46 UTC,300530,2017-01-23 20:46:51 UTC,needs_id,Erumpent in forest duff under Pinus contorta.,"97441, Gardiner, OR, US",43.86180209,-124.1365645,,Rhizopogon salebrosus
5701421,11/24/10,,382262,2017-04-14 22:24:32 UTC,needs_id,,"Maine, USA",45.1595,-69.0051,Rhizopogon truncatus,Rhizopogon truncatus
5702787,6/18/13,,382262,2017-04-14 23:04:31 UTC,needs_id,,"York Co., Maine, USA",43.39445,-70.64825,Rhizopogon nigrescens,Rhizopogon nigrescens
5704386,12/13/13,,382262,2017-04-14 23:52:03 UTC,needs_id,,"Clifford Park, Biddeford, Maine, USA",43.4836,-70.4479,Rhizopogon truncatus,Rhizopogon truncatus
5705875,10/8/14,,382262,2017-04-15 00:39:30 UTC,needs_id,,"York Co., Maine, USA",43.39445,-70.64825,Rhizopogon evadens,Rhizopogon evadens
6948138,7/6/17,2017-07-06 22:57:24 UTC,170354,2017-07-07 02:29:11 UTC,needs_id,"Probably Rhizopogon due to rhizomorphs on the surface, but could also be a puffball

","Calaveras County, US-CA, US",38.29934932,-120.2609108,,Rhizopogon
6997807,8/27/11,,221542,2017-07-10 17:43:34 UTC,needs_id,"<p>In high montane mixed spruce/fir forest, ~10,000-11,000 ft.</p>
<p>Collected for the 4th Annual Eagle Mushroom Festival.</p>","Shrine Pass, Eagle Co., Colorado, USA",39.5472,-106.242,Rhizopogon,Rhizopogon
6998566,8/23/08,,221542,2017-07-10 18:28:23 UTC,needs_id,,"Telluride, Colorado, USA",37.9421,-107.836,Rhizopogon brunneiniger,Rhizopogon brunneiniger
7000027,11/26/14,,221542,2017-07-11 01:49:49 UTC,needs_id,<p>Among oak and mixed conifers.</p>,"North Fork Campground, Plumas National Forest, California, USA",40.0387,-121.221,Rhizopogon,Rhizopogon
7001137,11/1/15,,221542,2017-07-10 20:35:55 UTC,needs_id,"<p>In sandy soil.</p>
<p>Collected during a field trip with the University of Oregon Mycology 432/532 class, taught by Dr. Jeff Stone and Roo Vandegrift (<a href=""http://mushroomobserver.org/observer/lookup_user/Werdnus""><i>Werdnus</i></a>).</p>","Tahkenitch Creek Trail, Oregon Dunes National Recreation Area, Siuslaw National Forest, Douglas Co., Oregon, USA",43.8128,-124.1545,Rhizopogon occidentalis,Rhizopogon occidentalis
7018236,8/9/13,2013-08-09 18:32:01 UTC,477643,2020-06-02 06:04:26 UTC,research,,Rimouski Canada,48.43898,-68.53497,Rhizopogon roseolus,Rhizopogon roseolus
7322797,8/1/17,2017-08-01 20:27:40 UTC,538436,2017-09-28 01:01:46 UTC,needs_id,"Under lodgepole pine. 
Collector #: AWW717","CU Boulder Mountain Research Center, Boulder County, US-CO, US",40.03603,-105.54348,Rhizopogon roseolus,Rhizopogon rubescens
7352580,8/1/17,2017-08-01 20:40:38 UTC,538436,2017-08-14 23:53:55 UTC,research,Collector ID:AWW716,CU Boulder Mountain Research Station,40.03603,-105.54348,Rhizopogon ochraceorubens,Rhizopogon ochraceorubens
7583394,8/18/17,2017-08-18 18:29:22 UTC,3494,2018-12-19 23:10:20 UTC,needs_id,Mushroom in the grasp of the rodent ,"Newberry National Volcanic Monument, Bend, OR, US",43.91111333,-121.3570117,Rhizopogon,Rhizopogon
7827538,9/2/17,2017-09-02 22:56:00 UTC,3494,2017-09-08 00:32:13 UTC,needs_id,,"Inyo National Forest, Inyo, California, United States",37.35283611,-118.7227861,Rhizopogon,Rhizopogon
7841952,9/8/17,2017-09-08 16:08:28 UTC,242882,2017-09-10 00:19:48 UTC,research,,"Eldorado National Forest, Kyburz, CA, US",38.81101167,-120.240325,Rhizopogon occidentalis,Rhizopogon occidentalis
7946848,9/13/17,2017-09-13 18:15:01 UTC,5179,2017-09-16 21:17:18 UTC,needs_id,,pine creek pack station,37.361801,-118.694744,Rhizopogon,Rhizopogon
8197072,9/19/17,2017-09-19 14:10:24 UTC,62388,2018-10-13 06:14:50 UTC,needs_id,,"Orange County, US-NC, US",35.99250031,-79.0091629,Rhizopogon,Rhizopogon
8218052,9/30/17,2017-09-30 21:48:00 UTC,3494,2017-10-31 23:05:13 UTC,needs_id,,"Tulare County, CA, USA",36.56658056,-118.7705778,Rhizopogon,Rhizopogon
8262231,10/4/17,2017-10-05 00:21:45 UTC,611666,2017-10-08 18:16:05 UTC,needs_id,,"University of California, Berkeley, Berkeley, CA, US",37.87313819,-122.2636191,,Rhizopogon vulgaris
8616548,10/28/17,2017-10-28 21:52:15 UTC,608902,2017-10-31 03:35:40 UTC,research,"Seen in Sierras, spores shown at 1000x in oil","Tahoe National Forest, Truckee, CA, US",39.37588,-120.1771167,Rhizopogon salebrosus,Rhizopogon salebrosus
8627419,10/28/17,2017-10-28 19:16:00 UTC,608965,2017-11-01 08:37:34 UTC,needs_id,,"Van Norden Lake Rd, Soda Springs, CA 95728, USA",39.321398,-120.3772501,Rhizopogon,Rhizopogon
8670531,11/3/17,2017-11-03 23:09:47 UTC,147477,2017-11-06 21:04:39 UTC,needs_id,,"Northstar Ski Resort, Truckee, CA, US",39.28855831,-120.1194739,Rhizopogon,Rhizopogon
8725289,11/2/17,2017-11-02 20:31:28 UTC,258652,2017-11-07 22:54:16 UTC,needs_id,,United States,42.00226879,-70.02848994,Rhizopogon,Rhizopogon
8734781,11/6/17,2017-11-06 22:42:00 UTC,608497,2017-12-04 04:18:34 UTC,needs_id,Microscopic pics included - found on the lawn by Tolman,"Tolman Hall, Berkeley, CA 94720, USA",37.8741044,-122.2638912,Rhizopogon,Rhizopogon
